firstname,surname,date,zodiac_sign,pesel
Claude,Bumpus,2015-01-19,Sagittarius,44109702516
Carissa,Bohl,2016-05-14,Sagittarius,67391708979
Henri,Houseman,2021-01-29,Taurus,66559061683
Mavis,Althorpe,2016-01-06,Aries,88577032574
Lotte,Cuthbert,2020-04-08,Aries,81650317462
Michele,Edelheit,2019-01-13,Taurus,24639126524
Hallsy,De la Feld,2023-10-06,Taurus,82327715136
Vivyanne,Kenton,2016-05-14,Taurus,82882524866
Kassi,Giovani,2019-09-29,Virgo,32599734811
Geraldine,Tuckwood,2022-01-02,Cancer,95427507810
Georgia,Varney,2020-08-30,Aries,01484366979
Odey,Spafford,2019-02-19,Sagittarius,27941403033
Tuck,Cordrey,2017-11-06,Cancer,76199815361
Augustin,Booley,2021-12-06,Scorpio,24773708164
Astrid,Abry,2015-02-01,Libra,33571113305
Terri-jo,Tolan,2023-10-03,Aquarius,36394122328
Sergeant,Lackmann,2017-02-06,Aries,80940757904
Catharine,Kingscote,2022-04-20,Sagittarius,93712295954
Michele,Males,2020-12-25,Leo,77327756282
Arliene,Eate,2022-07-27,Taurus,30504580423
Beniamino,Yeskin,2020-07-16,Aquarius,19961130824
Leroy,Hansana,2015-02-25,Cancer,92701039341
Scott,Giggie,2022-03-15,Gemini,00906746677
Pauli,Vasilmanov,2018-05-27,Cancer,68828254330
Lainey,McLeod,2019-01-27,Pisces,20262776080
Correy,Ferier,2019-12-04,Aries,51305323781
Christal,Andrus,2021-01-20,Gemini,71364339337
Hilton,Van Salzberger,2023-06-26,Aries,07574063315
Hermina,Foad,2021-01-23,Capricorn,57471665845
Geralda,Mark,2017-07-04,Libra,18053720648
Aila,Straniero,2015-09-27,Scorpio,59394694825
Teodora,Gulleford,2020-11-30,Aries,84104630260
Fidelity,Dunstall,2023-08-19,Virgo,69125184549
Artemis,Frankiss,2015-05-14,Gemini,43245777117
Rodrique,Predohl,2023-07-15,Pisces,45265542614
Felicio,Dickey,2017-11-16,Gemini,29496076790
Paule,Wilsher,2022-05-30,Aquarius,59343283252
Mace,Peto,2015-06-17,Aquarius,46958001962
Camala,Farley,2019-01-01,Gemini,93504745330
Annis,Ireson,2020-08-10,Libra,65967353369
Meridith,Brilleman,2015-01-18,Libra,01107758312
Shurwood,Lanmeid,2016-08-28,Cancer,91303986590
Chantal,Badsey,2021-07-30,Gemini,42225204240
Kippar,Forton,2016-12-19,Leo,71407069436
Karlotte,Leftridge,2017-09-02,Aries,45682006673
Allistir,Pidgin,2023-06-12,Sagittarius,94525462044
Noland,Coggin,2017-07-04,Capricorn,27773941039
Cassondra,Cardenoso,2019-09-08,Gemini,32996685101
Langsdon,Drewson,2017-04-05,Virgo,39499126824
Alli,Brunesco,2016-10-28,Gemini,16771897634
Horace,Dowers,2020-09-17,Aquarius,60183328612
Fin,Kennady,2016-09-12,Gemini,86459315317
Perri,Episcopi,2018-03-23,Aquarius,84919212283
Brigitta,Draayer,2015-11-29,Aries,33940872508
Alfonse,Deighan,2022-02-15,Scorpio,22147422964
Isak,Leschelle,2019-09-09,Cancer,59036291125
Ario,Folk,2022-03-14,Sagittarius,67676489130
Pamela,Martinello,2017-01-18,Capricorn,54046206551
Bryn,Stranger,2020-01-19,Sagittarius,59029100423
Kevan,Jirick,2016-01-06,Aries,45307354390
Joline,Sigart,2023-06-24,Leo,46241535556
Kerrill,Mocher,2019-07-22,Pisces,68188393754
Francesco,Bottell,2017-03-28,Capricorn,93619312189
Gwennie,Boner,2016-10-31,Aquarius,34988689106
Reyna,Beveridge,2022-07-28,Cancer,07809055480
Nettle,Pouck,2016-03-19,Taurus,38774172278
Ketti,Bugg,2017-05-10,Leo,53240990093
Ivonne,Tartt,2016-09-27,Aquarius,94885284849
Kevan,Keeler,2020-09-22,Libra,81602582332
Justine,Capp,2021-04-17,Cancer,88493771334
Andriette,Olifaunt,2015-02-08,Sagittarius,82587537081
Cyndie,Haxell,2019-02-20,Capricorn,68738487012
Inness,Mainland,2019-10-26,Leo,00904676826
Henderson,Surcomb,2017-07-14,Taurus,51977444014
Gabriel,Manford,2019-07-24,Pisces,53472207000
Kara,Pinkard,2021-11-13,Scorpio,73649182864
Germaine,Tarte,2023-06-19,Libra,87729632997
Rhianna,Minto,2023-01-31,Gemini,55605816593
Bren,Jurczyk,2023-01-04,Cancer,38435648770
Mariam,D'Emanuele,2022-10-09,Libra,49687173666
Venus,Elsworth,2023-09-05,Virgo,14504306791
Ronalda,Gregorowicz,2021-07-10,Libra,40217714014
Swen,Hastwall,2019-09-01,Leo,45471523034
Dacy,Megainey,2023-10-12,Pisces,43755538921
Paulina,Doylend,2022-03-06,Pisces,16103361193
Burr,Kienl,2018-11-06,Taurus,20857917288
Arleyne,Reckless,2021-02-14,Capricorn,72416976620
Hailey,Castelot,2016-05-08,Capricorn,65139980263
Celinka,Blabey,2017-03-08,Gemini,05776820005
Viv,Drissell,2015-07-24,Capricorn,57976898648
Jordan,Larder,2019-02-24,Gemini,83389086052
Tiler,McLarnon,2017-02-03,Aquarius,01166395006
Tabbitha,Jervois,2019-06-26,Libra,82021754484
Steward,Asp,2016-11-14,Capricorn,93235983761
Evy,Hacquard,2018-01-17,Gemini,91753130019
Damara,Mingardo,2016-11-26,Cancer,11115178594
Sigvard,Veillard,2020-05-06,Libra,20375988828
Mikaela,Boyd,2016-02-22,Gemini,77570755647
Angie,Hannum,2022-05-26,Leo,07918236503
Cariotta,Smorthit,2015-03-11,Capricorn,26065623856
Broderic,Mecchi,2016-07-22,Virgo,69508174875
Madeline,Creamer,2021-06-25,Aquarius,40011766830
Madelaine,Fogden,2015-02-15,Scorpio,53786587354
Itch,Sleith,2018-07-21,Sagittarius,44608244190
Lucho,Glewe,2021-12-14,Taurus,91491422677
Anselm,Mocher,2016-10-30,Aries,64735367013
Ben,Etheridge,2016-07-23,Sagittarius,21684389905
Tamarra,Boyfield,2021-01-06,Scorpio,84383263221
Karina,Zoane,2022-07-01,Scorpio,21677189369
Renato,Riggulsford,2018-04-22,Aquarius,88517102236
Temp,Kenny,2022-03-06,Libra,21278715993
Remus,Rookledge,2016-02-05,Gemini,97536450962
Wandis,Hutchcraft,2016-11-01,Leo,84982457535
Ned,Gillibrand,2018-03-10,Aquarius,32143802418
Clayson,Sleightholme,2022-10-16,Cancer,73466633532
Loretta,Kynman,2016-07-07,Scorpio,62148287387
Free,Heyward,2022-05-11,Aquarius,21832181488
Bernard,Baynom,2021-10-29,Gemini,17073854370
Wolfy,Vicarey,2018-11-22,Sagittarius,64901659939
Jackelyn,Cullimore,2019-08-07,Gemini,63311667976
Lothario,Vinas,2016-12-08,Aquarius,11580352415
Duff,Thursby,2016-01-10,Cancer,49677987270
Esmaria,Kenn,2019-11-02,Pisces,83327113689
Mic,Cosins,2022-05-15,Leo,51405844247
Oliviero,Webber,2020-07-31,Aries,59586804975
Virginia,Chippendale,2023-07-12,Virgo,60615970566
Renato,Blacket,2021-09-06,Scorpio,53834170430
Hortensia,Philler,2020-06-15,Virgo,30885224237
Roger,Tremberth,2023-10-07,Aries,74344215879
Sophie,Cudihy,2022-03-04,Libra,07610411016
Burr,Cushelly,2017-02-05,Leo,42348952050
Nestor,Lowsely,2023-05-18,Taurus,35805008737
Ned,Pountain,2018-08-02,Gemini,32793609164
Gerek,Corrie,2016-10-13,Capricorn,28951959096
Ailina,Hutcheon,2021-02-11,Sagittarius,28170787897
Jdavie,Farr,2017-06-12,Leo,06407180984
Swen,Senner,2022-02-27,Gemini,77851362550
Kessia,Molloy,2022-10-26,Taurus,05165336627
Carrie,Lindenboim,2021-09-28,Taurus,09096995815
Yasmin,Staveley,2016-08-26,Cancer,91390883536
Leeland,Philliskirk,2018-07-29,Aquarius,47736887709
Andy,Penk,2017-07-08,Cancer,79243668346
Simone,Fines,2019-11-08,Aquarius,28709267027
Francene,Brockelsby,2022-12-02,Scorpio,34921750398
Keefer,Niblo,2023-05-14,Leo,41185371687
Gae,Schapero,2018-12-03,Pisces,91942459171
Aime,Dalgety,2019-02-09,Sagittarius,78708223745
Godwin,Maguire,2022-09-24,Scorpio,42867585550
Niki,Peatt,2021-11-11,Sagittarius,16218765043
Franz,Chellenham,2019-10-24,Aries,20413035459
Minnnie,Coulthart,2021-09-09,Cancer,43204728580
Clerc,Mathen,2017-12-04,Gemini,85809179259
Brod,Kibel,2021-12-22,Cancer,55960807971
Emmit,Braithwait,2016-08-01,Capricorn,08256048510
Myranda,Davidovich,2023-08-08,Sagittarius,34851486898
Loralee,Bernot,2016-12-05,Capricorn,62612206615
Gianina,Shevlin,2020-09-24,Cancer,25194721531
Delano,Goodredge,2019-05-04,Aries,02712453437
Witty,Giovannetti,2021-01-06,Virgo,14136333511
Odell,Quarrell,2022-12-15,Cancer,22181593860
Harri,Stevings,2017-06-09,Scorpio,52667678837
Wilie,Delaprelle,2018-12-26,Gemini,19949743951
Charmine,Ironside,2023-07-10,Leo,58671654800
Lyon,Rembaud,2022-12-15,Gemini,83109476016
Tallia,Bandiera,2020-06-06,Aries,98971293843
Abra,O'Fairy,2019-09-12,Capricorn,16845421232
Finlay,Jerrand,2018-12-03,Scorpio,78580401885
Nara,Coupland,2021-08-12,Libra,27293261774
Lionel,McComb,2019-04-07,Scorpio,59392570547
Melina,Petrina,2016-04-23,Scorpio,27028512494
Darby,Shambroke,2020-10-05,Sagittarius,01106825215
Rock,Drabble,2018-04-15,Capricorn,41846321464
Elisha,Pleaden,2018-06-05,Cancer,06643313114
Corabelle,Youens,2015-06-15,Gemini,30518203878
Jacob,Abelson,2019-09-01,Aquarius,84564953449
Lynett,Hussey,2022-06-26,Virgo,13864265901
Welbie,Hellin,2020-06-16,Scorpio,57666460460
Sunny,Perico,2016-11-05,Taurus,60274453133
Jermain,Cowup,2020-06-18,Leo,71069801854
Bil,Waud,2022-09-20,Aquarius,44598740516
Ilaire,Averies,2018-05-21,Scorpio,79752645772
Herve,Morson,2018-10-07,Capricorn,97445884614
Wit,Mullen,2018-05-12,Leo,90440926060
Elene,Spivey,2020-07-08,Scorpio,04837985695
Elwyn,Cuskery,2023-07-08,Pisces,35286760025
Bennett,Mabson,2016-02-26,Gemini,77486472496
Godfree,Kinmond,2021-05-04,Aquarius,30746088229
Eal,Reely,2022-12-14,Virgo,89583372223
Olimpia,Clerc,2016-04-09,Sagittarius,65306573861
Wit,Kilgrew,2015-05-29,Sagittarius,29657898737
Laure,Ranklin,2015-12-13,Cancer,33736841340
Titos,Shaddock,2021-08-10,Taurus,35623563679
Stacy,Kleszinski,2021-03-10,Gemini,54648755636
Delmer,Russilll,2018-01-17,Cancer,46781445107
Neal,Orman,2022-09-03,Pisces,80311201442
Kathi,McCart,2016-05-28,Sagittarius,00148844085
Stephenie,Olufsen,2015-03-05,Capricorn,05685007724
Harrie,Winston,2020-02-08,Gemini,82853308366
Toby,de Leon,2015-11-01,Aries,11685057535
Nicola,Wixey,2022-06-27,Pisces,83661760625
Davidde,Bartod,2021-07-23,Pisces,40680967009
Neale,Jahn,2022-12-18,Leo,95179180081
Pasquale,Maestro,2021-12-17,Capricorn,51143204883
Regen,Cordeau],2019-04-25,Virgo,01764676242
Miquela,Gosnay,2020-02-19,Libra,43077079095
Raddy,Boult,2020-06-18,Sagittarius,78018303585
Velvet,Gress,2019-08-11,Capricorn,38852657257
Ivy,Judson,2016-08-06,Scorpio,69415371234
Ogdan,Brampton,2019-10-12,Pisces,80936448903
Delmar,Dering,2021-01-08,Libra,50178769025
Cyndi,Scocroft,2023-10-14,Sagittarius,76688497392
Alleen,Prodrick,2023-06-23,Scorpio,76147288147
Bernadette,Youngs,2022-07-20,Gemini,25458955090
Lorita,Geer,2023-08-18,Sagittarius,80476546623
Ange,Ivasechko,2020-02-27,Scorpio,37703634537
Estel,Glennie,2019-11-15,Leo,54046333422
Pace,Fawkes,2019-11-03,Pisces,46067809738
Pace,Marages,2021-03-31,Virgo,99290525248
Matilde,Rosenau,2021-05-20,Capricorn,15207050617
Hoebart,Meenehan,2016-10-25,Cancer,75960384201
Aldis,Itzcovichch,2018-10-09,Taurus,74016654136
Lanita,Saffran,2017-04-15,Cancer,63253070685
Brooks,Philipsohn,2015-01-02,Aquarius,37966983502
Nealon,Kibblewhite,2021-12-11,Virgo,33574590946
Shelton,Beadnell,2021-09-18,Libra,96476310719
Ebony,Jacobbe,2015-08-08,Capricorn,62398313309
Ebenezer,Gooda,2021-02-20,Cancer,59887667497
Josh,Lundbeck,2023-04-08,Virgo,24836217420
Ki,Klulicek,2021-12-03,Taurus,78776403455
Tom,Penhalurick,2019-11-26,Virgo,11026221971
Joela,O'Loughane,2015-12-17,Scorpio,43878431326
Lonny,Mulder,2020-04-30,Aries,06567064629
Ancell,Childes,2019-03-20,Taurus,87176905906
Harry,Ridgedell,2016-12-25,Virgo,69895174576
Tad,Brody,2020-12-13,Sagittarius,37465685106
Chrysler,Cassely,2023-05-12,Virgo,60015458496
Nefen,Dunthorn,2023-04-30,Virgo,89697448854
Alex,Klehyn,2019-02-01,Cancer,58508270451
Concettina,Troake,2021-08-10,Gemini,45205009197
Hillyer,Allitt,2018-01-12,Libra,66439404212
Bucky,Jedrzejczyk,2018-03-15,Libra,01210393886
Trudy,Kleisle,2022-06-26,Leo,15663525509
Lynelle,Dane,2022-02-27,Aquarius,24040387918
Zeb,Pessler,2020-03-17,Gemini,99067051401
Murvyn,Latehouse,2015-05-13,Libra,67914438851
Kellyann,Hawtin,2016-04-22,Aries,02216566896
Calvin,Robertet,2021-12-14,Taurus,73586053811
Gregoire,Eymer,2016-04-13,Capricorn,03634708579
Nona,Vanshin,2022-07-13,Scorpio,15933550101
Hally,Barter,2020-12-02,Aries,44431878100
Ethan,Szymczyk,2018-10-01,Leo,61521200992
Nick,Hannen,2017-02-20,Virgo,79160945478
Jackqueline,Glamart,2017-06-11,Aries,36498280982
Kinna,Albisser,2021-10-03,Pisces,81335949820
Jim,Creasy,2020-09-23,Gemini,23173870216
Aimil,Manass,2023-01-12,Aquarius,19223955941
Ingeborg,Pinnegar,2017-03-31,Aries,52285874764
Kristian,Springall,2020-05-21,Leo,11796492334
Yancy,Barbie,2016-10-17,Gemini,80151026516
Wilhelmine,McGaw,2016-04-03,Libra,33612237982
Rebecca,Hardison,2016-05-19,Libra,16282334528
Bernarr,Eadon,2018-12-08,Gemini,41906365339
Yolanthe,Jumonet,2019-01-09,Capricorn,20840644290
Celestina,Kohring,2022-08-14,Cancer,86674063566
Nataniel,Emblin,2015-04-19,Libra,69383697557
Red,Stovell,2017-08-04,Capricorn,59411566129
Curry,Robotham,2016-08-19,Pisces,87175619934
Torie,MacQueen,2019-02-15,Pisces,16914163536
Eli,Knightsbridge,2021-09-16,Aquarius,79902971996
Glynn,Kytter,2022-05-01,Cancer,04604651880
Donni,Tredget,2019-05-27,Pisces,82767126718
Rolfe,Morant,2015-01-06,Cancer,64550801834
Jermain,Vannacci,2019-11-30,Libra,93935387672
Michael,Harce,2021-10-17,Leo,96682612527
Farand,Calver,2019-10-18,Aquarius,03880508587
Frederico,Pavie,2018-06-05,Gemini,24727200531
Maureen,Odgers,2021-01-29,Virgo,58140178359
Mariel,Matushevitz,2021-09-25,Taurus,39440637402
Kienan,Lambkin,2021-06-27,Cancer,13963987937
Eadmund,Knight,2016-12-22,Cancer,66322564393
Megen,Christophe,2022-04-11,Leo,41906239491
Adina,Spraggon,2017-10-03,Libra,86029458675
Ricoriki,Cadigan,2023-04-10,Virgo,96819472759
Cassie,Cron,2021-04-03,Sagittarius,20517196160
Arnold,Crambie,2021-12-06,Aries,78559288775
Cart,Harder,2015-01-09,Gemini,66733855508
Didi,Canty,2015-02-16,Leo,68783791220
Channa,Grandin,2020-01-27,Cancer,55217482503
Vanna,Barracks,2021-08-29,Taurus,55704619795
Jock,Aldam,2021-09-29,Leo,09274782521
Mufi,Sharville,2015-08-01,Cancer,50545691414
Marinna,Pavkovic,2017-01-28,Aquarius,94609995812
Phylis,Itzhak,2015-02-01,Cancer,72685834069
Margo,Maymond,2015-08-27,Sagittarius,44591396252
Cory,Jenckes,2016-12-26,Scorpio,54279360197
Christy,Dosdell,2018-05-20,Libra,27078482705
Andee,Twining,2020-07-19,Capricorn,25697869270
Magnum,Rzehor,2019-02-14,Gemini,17128075224
Franz,Ellingworth,2019-02-28,Cancer,45659423220
Gregor,Channon,2019-08-16,Sagittarius,75149842710
Em,Andreia,2019-02-14,Libra,41094083502
Scott,Dessent,2023-03-30,Pisces,70138563208
Jameson,Pollak,2016-03-20,Aries,69557140709
Jamey,Jorin,2021-07-21,Capricorn,40932750364
Sileas,Vatini,2015-04-11,Gemini,77624141248
Merrie,Rimmington,2018-03-05,Taurus,50378503379
Zitella,Erik,2023-10-10,Aries,22677688798
Freeman,Liddicoat,2021-09-19,Virgo,27824133478
Hayden,Stott,2017-06-18,Aries,27965187597
Starr,Vaisey,2016-03-05,Sagittarius,07369964017
Claiborn,Thurlow,2022-08-23,Taurus,89328196097
Mylo,Swinney,2022-05-06,Sagittarius,04393660289
Eugenia,Doyley,2019-01-28,Leo,95375408486
Harman,Willowby,2015-03-26,Libra,05664365891
Lorilyn,Knibb,2023-03-02,Sagittarius,56792970864
Riki,Dacke,2022-12-07,Taurus,19452299316
Cherice,Hedgecock,2016-11-27,Gemini,10676891754
Ariadne,Ivanyushin,2021-07-03,Virgo,35608966075
Hermione,Ambrogioli,2017-08-15,Aries,99739425786
Gretal,Muino,2021-04-17,Taurus,93051268546
Oona,Hollows,2018-07-31,Sagittarius,94482879075
Haily,Hawick,2016-06-01,Cancer,22285242165
Carolin,Bourdon,2017-05-15,Cancer,39373282915
Yelena,Noseworthy,2018-09-16,Aries,73126770429
Darsey,Trayford,2021-02-12,Gemini,17542772759
Donnamarie,Codi,2020-08-14,Virgo,59103165618
Benny,Kesten,2018-06-05,Aries,28343941445
Myles,D'eathe,2023-07-07,Cancer,13515331695
Earl,Younger,2017-11-02,Cancer,53033606363
Burnaby,Swinden,2016-05-02,Cancer,43811678231
Bard,Flagg,2022-06-08,Capricorn,01509668225
Nichol,Barhem,2022-01-05,Virgo,13460438375
Helaine,Simmens,2021-04-11,Sagittarius,62362167189
Kizzee,Duckett,2021-04-26,Gemini,75194605281
Krystyna,Beers,2021-08-31,Capricorn,40085745790
Leisha,Mongain,2015-02-09,Libra,75814667792
Siouxie,Jeannequin,2023-08-05,Aries,90411119153
Lane,Eckersall,2019-10-14,Taurus,46865396469
Sonni,Cartman,2017-12-25,Libra,80850724685
Carlyn,Tie,2016-04-14,Capricorn,11667070836
Joscelin,Otterwell,2019-04-13,Aquarius,10314666591
Sauncho,Red,2019-08-23,Pisces,91586889489
Laetitia,Epinoy,2023-08-15,Capricorn,44228606404
Pebrook,Pettko,2015-11-01,Aries,18892156804
Northrup,Soigne,2018-11-14,Virgo,97216982973
Amitie,Searle,2021-10-18,Virgo,16891011843
Silvano,Jowett,2022-09-15,Sagittarius,79779150906
Keefe,Sansome,2023-04-28,Virgo,53777667686
Creigh,Dearden,2023-04-07,Cancer,99775787863
Marybeth,Di Francecshi,2015-08-20,Scorpio,15591627204
Gwynne,Nock,2016-02-22,Leo,88146226428
Querida,Budge,2022-01-30,Leo,52377389700
Hersh,Jeannesson,2018-01-16,Pisces,36176208214
Tremain,Kleinhaut,2020-11-16,Libra,81509307450
Nikolaos,Spore,2022-10-16,Pisces,48447719492
Andris,Vennard,2018-03-23,Pisces,25119827775
Giavani,Mayhow,2017-12-23,Scorpio,58329501187
Lyndsay,Chinnock,2019-03-12,Cancer,89609197909
Merline,Samples,2023-03-17,Sagittarius,98755214043
Ewen,Scurrer,2021-12-08,Capricorn,15961959898
Allsun,McLuckie,2023-09-29,Aries,37609067638
Munroe,Laverenz,2017-08-29,Virgo,58590434000
Selena,Bazoge,2022-05-18,Libra,35299988764
Constantina,Djurkovic,2016-01-13,Virgo,47973954973
Lynnet,Burfoot,2020-09-03,Gemini,77659264474
Lina,Eisikowitz,2018-10-10,Capricorn,89548963386
Hammad,Benez,2016-09-21,Scorpio,88506421695
Steffen,Robertazzi,2015-02-04,Libra,37803707105
Gaylene,Jillis,2015-03-25,Aries,25877093060
Edithe,Bonallack,2020-06-24,Sagittarius,30576877615
Byron,Egiloff,2016-04-24,Aquarius,74938318482
Jermayne,Tunnah,2021-03-24,Virgo,19378531716
Gideon,Vanyatin,2023-01-21,Scorpio,89652787053
Evelin,Onge,2015-06-19,Libra,32349197263
Fiona,Heyburn,2023-07-02,Sagittarius,52244226590
Lurette,Dodridge,2019-11-21,Gemini,81358919556
Kaye,Spall,2022-05-07,Aries,38691477989
Loralie,McReynold,2016-05-29,Aries,97164562764
Robina,Caswill,2019-09-23,Libra,38921403839
Janela,Hamberston,2015-04-26,Gemini,40222482417
Lanie,Vawton,2017-10-16,Gemini,65798023968
Welsh,Cornbill,2020-11-17,Leo,11138881536
Odetta,Pickston,2020-01-14,Cancer,21688245172
Shaine,Coultard,2017-02-26,Aries,25648366892
Renaud,Yakovich,2019-05-11,Scorpio,51401770292
Sheree,Ghiroldi,2020-04-03,Pisces,78964189416
Sidonia,Dougill,2018-10-27,Aries,57679341091
Berne,Seaborne,2022-06-08,Taurus,36788452576
Ellynn,Gotts,2023-08-06,Aries,40059025269
Clotilda,Burdge,2018-07-08,Libra,44371876381
Willdon,Climo,2015-02-03,Aries,56461361383
Tallie,Form,2018-10-10,Libra,89392607821
Elvera,Colson,2018-03-28,Aquarius,22635388763
Delcina,Mudie,2019-05-03,Sagittarius,33326967389
Charlene,Porteous,2021-05-20,Cancer,55319630757
Mildrid,Banbrigge,2018-09-19,Scorpio,85540146517
Aeriela,Payler,2022-02-16,Virgo,54064592898
Suzanne,Tansill,2020-11-24,Libra,82858140920
Cherilynn,Detoc,2016-07-11,Cancer,37310178918
Angeline,Togwell,2016-03-11,Capricorn,79452133318
Arlee,Gilhespy,2020-07-21,Aries,78910398327
Leshia,Solesbury,2022-09-11,Aries,45413710145
Saxon,Walles,2019-07-22,Leo,60950274071
Aggi,Sayes,2021-11-21,Libra,12548585164
Jarrid,Cathro,2021-05-22,Cancer,90370299640
Aurilia,Yancey,2017-06-04,Pisces,88650461218
Morten,Hogsden,2023-05-19,Leo,53567513770
Roth,Magee,2018-08-19,Gemini,99121130994
Greta,Tingey,2019-06-11,Libra,90074345601
Ardeen,Monro,2016-09-28,Aries,80759623054
Marinna,Elsworth,2019-04-30,Virgo,12987259644
Bobbe,Carrol,2016-02-10,Scorpio,58407925771
Kalindi,Beilby,2021-07-15,Taurus,18607474711
Essy,Ricardou,2020-04-08,Capricorn,85789191751
Adina,Nezey,2019-03-03,Pisces,97955600715
Tammy,Crannach,2019-09-17,Aquarius,59967296071
Stanly,de Lloyd,2015-09-09,Pisces,91079482785
Kora,Lusgdin,2021-11-12,Cancer,75012182421
Benedetto,Plaster,2018-04-15,Aquarius,87662926002
Edythe,Jimmes,2015-11-28,Capricorn,95323619409
Kristoffer,Eastway,2019-08-29,Sagittarius,21211248414
Correna,Tideswell,2018-07-21,Sagittarius,28575859396
Vincent,Binnell,2022-03-12,Capricorn,20104270464
Shayne,Presnell,2021-09-07,Aquarius,92371561702
Leandra,Powrie,2016-02-21,Capricorn,61827870961
Alphonso,Wehden,2015-06-10,Scorpio,92415384617
Filippa,Sein,2019-03-14,Aries,57039934298
Jammie,Manach,2020-07-07,Sagittarius,06566185092
Bertina,Ruller,2022-01-23,Sagittarius,42439470826
Margalo,Shoute,2015-10-29,Capricorn,73929063931
Linzy,Schoenfisch,2018-11-05,Pisces,67728918101
Devin,Etchell,2019-02-21,Cancer,27407129778
Dolly,Gauvin,2020-02-10,Scorpio,96570613213
Doti,Holsey,2021-10-24,Gemini,97556372407
Holly-anne,Gonthard,2023-06-08,Scorpio,16077223857
